年份,全国一般公共预算收入决算数（亿元）,社会消费品零售总额（亿元）,农业总产值(现价)（元）,农林牧渔业总产值(现价)（亿元）,GDP:初步核算数:第一产业（亿元）,GDP:初步核算数:第二产业（亿元）,GDP:初步核算数:第三产业（亿元）,年底总人口数（万人）,进出口总额(以人民币计)（亿元）,全社会固定资产投资额(不含农户)（亿元）,人均国内生产总值GDP（现价）（元）,国内生产总值GDP(现价)（亿元）,就业人数（万人）,GDP(不变价)（亿元）,外贸依存度,产业结构高级化,资本生产率,劳动生产率
2022,203703,439732.5,8.44E+12,156065.9366,88345,483164,638698,141175,420678,579556,85698,1210207.2,73351,1132053.8,0.371606014,1.321907261,1.953312191,15.43337923
2021,202554.64,440823.1952,7.83E+12,147013.3997,83086,450904,609680,141260,390515.7417,552884.2,81370,1149237,74652,1099197.9,0.35527337,1.352128169,1.988115956,14.72429272
2020,182913.88,391980.6,7.17E+12,137782.1668,77754,384255,313071,141212,322215.2367,527270.3,71828.1484,1013567.002,75064,1013567.002,0.317902256,0.814748019,1.922291095,13.50270439
2019,190390.08,408017.1881,6.61E+12,123967.9353,70467,386165,317109,141008,315627.3175,560874.3,70077.6918,986515.2023,75447,890304.8485,0.354516004,0.821174886,1.587351834,11.80040092
2018,183359.84,377783.1,6.15E+12,113579.5301,64734,366001,305160,140541,305010.1,645675,65533.7427,919281.1291,75782,840302.6339,0.362976489,0.833768214,1.301432817,11.08841986
2017,172592.77,347326.7,5.81E+12,109331.7209,65468,334623,279997,140011,278099.24,641238.39,59592.2511,832035.9486,76058,787170.4115,0.353289753,0.8367536,1.227578423,10.34960703
2016,159604.97,315806.2,5.57E+12,106478.7285,63671,296236,247860,139232,243386.4624,606465.66,53782.9974,746395.0595,76245,736036.4793,0.330671739,0.836697768,1.213649062,9.653570455
2015,152269.23,286587.8,5.42E+12,101893.525,60863,274278,228974,138326,245502.9328,561999.83,49922.3268,688858.218,76320,688858.218,0.356391092,0.834824521,1.225726737,9.025920048
2014,140370.03,259487.3,5.19E+12,97822.51343,58332,271392,227991,137646,264241.7749,512020.65,46911.7187,643563.1045,76349,563773.7698,0.46870179,0.840080032,1.101076236,7.384167046
2013,129209.64,232252.6,4.89E+12,93173.69986,56957,249684.4,210689.4,136726,258168.89,446294.09,43496.6132,592963.2295,76301,524803.1297,0.491934738,0.843822842,1.175913241,6.878063587
2012,117253.52,205517.3,4.48E+12,86342.15224,52377,235318.6,199859.6,135922,244160.21,374694.74,39771.3728,538579.9535,76254,486983.2775,0.501372883,0.849314929,1.299680047,6.386330913
2011,103874.43,179803.8,4.03E+12,78836.97742,47712,220591.6,188572,134916,236401.95,311485.13,36277.1363,487940.1805,76196,451480.0743,0.523615467,0.854846694,1.449443427,5.925246395
