numsampled,0.97,lci,hci
1,1,1,1
100,37.91,31,46
200,65.21,54,77
300,88.15,75,100
400,107.28,90,120
500,124.7,108,136
600,140.38,123,152
700,154.51,135,168
800,166.52,147,184
900,178.47,159,194
1000,189.37,171,206
1100,199.19,181,217
1200,208.77,192,226
1300,217.28,200,233
1400,225.72,208,242
1500,234.02,218,250
1600,241.8,225,257
1700,249.13,231,266
1800,256.12,238,274
1900,263,244,280
2000,269.7,251,289
2100,276.22,260,295
2200,281.89,263,300
2300,287.53,269,307
2400,293.59,273,315
2500,299.6,280,323
2600,305.28,287,326
2700,310.5,293,331
2800,315.52,296,338
2900,321.02,303,342
3000,326.16,309,345
3100,331.11,314,353
3200,336.06,318,357
3300,340.35,321,362
3400,344.58,324,364
3500,349.17,328,366
3600,353.65,331,372
3700,358.04,334,376
3800,361.91,339,381
3900,365.91,343,386
4000,370.2,348,389
4100,373.94,352,393
4200,377.82,355,398
4300,381.63,359,403
4400,385.6,362,406
4500,389.71,367,410
4600,393.22,370,412
4700,396.94,374,419
4800,400.8,379,424
4900,404.71,381,429
5000,408.36,384,435
5100,411.59,391,437
5200,415.51,392,440
5300,419,396,444
5400,422.24,399,447
5500,425.51,403,449
5600,428.82,407,453
5700,432.17,410,456
5800,435.37,414,458
5900,438.58,417,462
6000,441.81,419,465
6100,444.93,423,468
6200,448.08,426,472
6300,451.13,429,475
6400,454.54,432,479
6500,457.54,433,482
6600,460.7,437,486
6700,463.49,440,489
6800,466.25,441,494
6900,469.53,444,495
7000,472.46,450,497
7100,475.21,450,500
7200,478.51,455,504
7300,481.21,455,504
7400,483.99,460,507
7500,486.55,462,511
7600,489.23,464,517
7700,492.27,466,520
7800,494.78,469,522
7900,497.51,470,525
8000,500.56,473,525
8100,503.09,477,528
8200,505.91,478,530
8300,508.49,481,534
8400,510.87,484,535
8500,513.78,489,539
8600,516.31,492,541
8700,519.01,494,544
8800,521.47,497,546
8900,524.01,499,548
9000,526.31,500,550
9100,528.72,501,554
9200,531.39,505,555
9300,533.76,508,558
9400,536.16,509,560
9500,538.41,510,564
9600,540.88,513,566
9700,542.99,515,569
9800,545.36,517,571
9900,547.7,520,574
10000,549.85,524,575
10100,552.17,528,577
10200,554.45,529,580
10300,556.86,531,583
10400,559.2,533,585
10500,561.71,535,589
10600,563.94,537,591
10700,566.52,537,594
10800,568.73,543,595
10900,570.97,545,598
11000,572.98,547,599
11100,575.38,552,603
11200,577.77,553,605
11300,580.04,555,608
11400,582.23,556,611
11500,584.48,559,615
11600,586.43,560,615
