0,a,b,c
100,2.7288,2.306,3.1251
200,2.9406,2.5955,3.227
300,3.0475,2.7736,3.3076
400,3.1171,2.878,3.3313
500,3.1589,2.9413,3.3638
600,3.1893,2.9731,3.3634
700,3.2105,2.9931,3.3993
800,3.2292,3.0595,3.3641
900,3.2412,3.0983,3.3924
1000,3.2546,3.1336,3.3858
1100,3.2656,3.1317,3.3937
1200,3.2738,3.1522,3.3898
1300,3.2825,3.169,3.3922
1400,3.2903,3.1739,3.3955
1500,3.2999,3.1926,3.4039
1600,3.3071,3.1979,3.4014
1700,3.313,3.2161,3.3984
1800,3.3191,3.2333,3.407
1900,3.3225,3.2205,3.4104
2000,3.3272,3.2371,3.4107
2100,3.3332,3.2387,3.4104
2200,3.3399,3.2598,3.4295
2300,3.344,3.2654,3.432
2400,3.3477,3.2678,3.4446
2500,3.3533,3.2673,3.4514
2600,3.357,3.275,3.4373
2700,3.3594,3.27,3.4392
2800,3.3628,3.2752,3.4457
2900,3.3655,3.2825,3.4435
3000,3.3662,3.2885,3.4459
3100,3.3686,3.2942,3.4481
3200,3.3703,3.2834,3.4471
3300,3.3718,3.2874,3.4546
3400,3.3743,3.2858,3.4534
3500,3.3763,3.2932,3.46
3600,3.3774,3.2948,3.4474
3700,3.3792,3.3074,3.4467
3800,3.3799,3.3153,3.4462
3900,3.3813,3.319,3.4433
4000,3.3823,3.3195,3.4485
4100,3.3835,3.3241,3.4447
4200,3.3845,3.3199,3.4464
4300,3.3863,3.3209,3.4537
4400,3.3878,3.3207,3.4539
4500,3.3892,3.3355,3.4566
4600,3.3905,3.3371,3.4636
4700,3.3923,3.3306,3.4573
4800,3.3928,3.3312,3.4563
4900,3.3941,3.3374,3.4566
5000,3.3947,3.3365,3.4568
5100,3.3958,3.3375,3.4585
5200,3.397,3.3358,3.4602
5300,3.398,3.3379,3.4646
5400,3.3993,3.3408,3.4652
5500,3.4001,3.3442,3.461
5600,3.4006,3.3451,3.4629
5700,3.4018,3.3444,3.4603
5800,3.4026,3.3471,3.4601
5900,3.4038,3.3502,3.4632
6000,3.4044,3.3548,3.4552
6100,3.4044,3.3548,3.4581
6200,3.4048,3.3546,3.4566
6300,3.4058,3.3582,3.4577
6400,3.4065,3.3604,3.453
6500,3.4072,3.3618,3.4579
6600,3.4074,3.3618,3.457
6700,3.4084,3.3607,3.4594
6800,3.4094,3.3662,3.4572
6900,3.4101,3.3698,3.4644
7000,3.4111,3.3703,3.4663
7100,3.4123,3.3701,3.4672
7200,3.413,3.3727,3.4684
7300,3.414,3.375,3.4675
7400,3.4146,3.3741,3.4694
7500,3.4151,3.3716,3.4722
7600,3.4161,3.3715,3.4726
7700,3.4171,3.3715,3.4738
7800,3.4181,3.3749,3.4735
7900,3.4186,3.3734,3.4728
8000,3.4191,3.3728,3.4743
8100,3.4196,3.3715,3.4748
8200,3.4201,3.3727,3.4767
8300,3.4203,3.375,3.4764
8400,3.421,3.3768,3.4741
8500,3.4219,3.3744,3.4758
8600,3.4215,3.3722,3.4742
8700,3.4221,3.3729,3.4745
8800,3.4222,3.3788,3.4748
8900,3.423,3.3806,3.4736
9000,3.4235,3.3794,3.4697
9100,3.4241,3.3833,3.4736
9200,3.4243,3.3834,3.4722
9300,3.4244,3.3808,3.471
9400,3.4249,3.3839,3.473
9500,3.4253,3.3824,3.4727
9600,3.4257,3.3822,3.4747
9700,3.4263,3.3824,3.4723
9800,3.4265,3.3812,3.4732
9900,3.4271,3.3804,3.4727
10000,3.4275,3.3794,3.4746
10100,3.4276,3.382,3.4737
10200,3.4277,3.3821,3.4707
10300,3.4282,3.3826,3.4712
10400,3.4284,3.3842,3.472
10500,3.4286,3.3855,3.4701
10600,3.4292,3.3841,3.4713
10700,3.4294,3.3838,3.4733
10800,3.4295,3.3825,3.4739
10900,3.43,3.3859,3.4762
11000,3.4306,3.3857,3.4759
11100,3.4308,3.3834,3.4725
11200,3.4311,3.3841,3.4717
11300,3.4312,3.3817,3.4711
11400,3.4314,3.3836,3.4698
