numsampled,0.97,lci,hci
1,0,0,0
100,3.4272,3.1507,3.6966
200,3.6696,3.4525,3.8725
300,3.7643,3.6109,3.9323
400,3.8278,3.6666,3.9764
500,3.8685,3.7386,4.0136
600,3.9001,3.778,4.0153
700,3.9247,3.8055,4.034
800,3.9444,3.8324,4.036
900,3.961,3.8668,4.0593
1000,3.9717,3.8691,4.0561
1100,3.9842,3.8854,4.0664
1200,3.9934,3.9083,4.0813
1300,4.0038,3.9231,4.0846
1400,4.0128,3.924,4.1027
1500,4.0187,3.9314,4.1067
1600,4.0266,3.9414,4.1151
1700,4.0305,3.9386,4.1204
1800,4.035,3.9413,4.1307
1900,4.0393,3.9467,4.1336
2000,4.0436,3.9632,4.1294
2100,4.0477,3.9643,4.1306
2200,4.0506,3.9659,4.1362
2300,4.052,3.9794,4.127
2400,4.056,3.9681,4.1377
2500,4.0597,3.9778,4.1341
2600,4.0639,3.9809,4.1381
2700,4.0668,3.9862,4.1398
2800,4.069,3.9955,4.1393
2900,4.0708,3.9972,4.1383
3000,4.0741,4.0018,4.1392
3100,4.0768,4.0158,4.1356
3200,4.0776,4.0178,4.1355
3300,4.0801,4.0256,4.1479
3400,4.0825,4.0245,4.1546
3500,4.0838,4.0235,4.1531
3600,4.0856,4.0288,4.1506
3700,4.0874,4.0316,4.1478
3800,4.0893,4.0295,4.1474
3900,4.0908,4.0346,4.1522
4000,4.0922,4.0371,4.1447
4100,4.0938,4.0389,4.1447
4200,4.0955,4.0402,4.142
4300,4.0967,4.0456,4.1414
4400,4.0986,4.0433,4.139
4500,4.0996,4.0445,4.1411
4600,4.1004,4.0472,4.1481
4700,4.1011,4.0489,4.1514
4800,4.1025,4.0437,4.1503
4900,4.1037,4.054,4.1549
5000,4.1052,4.0535,4.1521
5100,4.1062,4.0558,4.1573
5200,4.1066,4.056,4.1584
5300,4.1073,4.0566,4.159
5400,4.1082,4.0597,4.1574
5500,4.109,4.0612,4.1553
5600,4.11,4.0622,4.1599
5700,4.1107,4.0648,4.1625
5800,4.1116,4.0635,4.1645
5900,4.1121,4.0642,4.1608
6000,4.1124,4.066,4.164
6100,4.1131,4.0616,4.1592
6200,4.1142,4.0664,4.1639
6300,4.1151,4.0634,4.162
6400,4.1161,4.0646,4.1655
6500,4.1168,4.0691,4.1708
6600,4.1176,4.0698,4.1681
6700,4.118,4.0706,4.1682
6800,4.1187,4.0694,4.1678
6900,4.1192,4.0698,4.1666
7000,4.1197,4.0726,4.1649
7100,4.1201,4.0768,4.1679
7200,4.1208,4.0742,4.1692
7300,4.1217,4.0774,4.1691
7400,4.1224,4.0783,4.1684
7500,4.1229,4.0792,4.1714
7600,4.1235,4.078,4.1714
7700,4.1237,4.0791,4.1711
7800,4.124,4.0809,4.1726
7900,4.1248,4.0828,4.1711
8000,4.1256,4.0825,4.1705
8100,4.1262,4.084,4.1729
8200,4.1266,4.0855,4.1747
8300,4.127,4.0848,4.1761
8400,4.1275,4.0871,4.1773
8500,4.1279,4.0867,4.1731
8600,4.1282,4.0905,4.171
8700,4.1287,4.0899,4.17
8800,4.129,4.09,4.1728
8900,4.1292,4.0907,4.1728
9000,4.1293,4.0899,4.1703
9100,4.1296,4.0911,4.1705
9200,4.1299,4.0929,4.1666
9300,4.1303,4.0961,4.1656
9400,4.1308,4.0971,4.1664
9500,4.1312,4.0958,4.1649
9600,4.1316,4.0964,4.166
9700,4.1321,4.097,4.1685
9800,4.1324,4.0964,4.1696
9900,4.1332,4.0969,4.1679
10000,4.1337,4.0962,4.1681
10100,4.1336,4.0952,4.1674
10200,4.134,4.0973,4.1672
10300,4.134,4.096,4.169
10400,4.1345,4.0955,4.1669
10500,4.1348,4.0938,4.1685
10600,4.1352,4.0956,4.1681
10700,4.1356,4.0961,4.1697
10800,4.1361,4.098,4.1727
10900,4.1367,4.0999,4.1711
11000,4.137,4.1004,4.1709
11100,4.137,4.1,4.171
11200,4.1374,4.101,4.1726
11300,4.1376,4.1029,4.1717
11400,4.1381,4.1033,4.1709
11500,4.1382,4.1046,4.1692
11600,4.1381,4.1035,4.171
11700,4.1384,4.1043,4.1722
11800,4.1387,4.1055,4.1691
11900,4.1389,4.1057,4.1696
12000,4.1391,4.1045,4.1689
12100,4.1393,4.105,4.1711
